t,I,V
33.54242754,-0.0054021775722503,-1.94999897480011
33.62515162,-0.0054472656920552,-1.95998013019562
33.70789614,-0.0054923454299569,-1.96997046470642
33.79063692,-0.0055389306508004,-1.97999060153961
33.8733618,-0.0055816178210079,-1.98997259140015
33.95611778,-0.0056259301491081,-1.99999666213989
34.03885844,-0.0054017147049307,-1.98997187614441
34.12158362,-0.0051962509751319,-1.97998940944672
34.20432502,-0.0050012012943625,-1.96996867656708
34.28707194,-0.0048191421665251,-1.95997822284698
34.3698192,-0.004645689856261,-1.94999742507935
34.45254498,-0.0044802133925259,-1.9399721622467
34.5352777,-0.0043226680718362,-1.92998695373535
34.61800816,-0.0041714282706379,-1.91996955871582
34.70074298,-0.0040253545157611,-1.90997719764709
34.78348622,-0.0038846735842526,-1.89999341964722
34.8662169,-0.0037484457716345,-1.88996982574463
34.94896536,-0.0036172873806208,-1.87998795509338
35.03169606,-0.0034888498485088,-1.86996984481812
35.11442196,-0.0033654947765171,-1.85997557640076
35.19715262,-0.0032449087593704,-1.84999203681946
35.27989054,-0.0031281705014407,-1.83997070789337
35.36261458,-0.0030134061817079,-1.82998907566071
35.44532996,-0.0029025196563452,-1.81996977329254
35.52807156,-0.0027951439842581,-1.80997657775879
35.61080576,-0.0026905208360403,-1.79998731613159
35.6935209,-0.0025887980591505,-1.78996479511261
35.77628872,-0.0024890881031751,-1.77998304367065
35.85901586,-0.002392184920609,-1.76996433734894
35.94172746,-0.0022974642924964,-1.75997865200043
36.02446256,-0.0022059790790081,-1.74998891353607
36.107211,-0.0021164766512811,-1.73996686935425
36.18994656,-0.0020289085805416,-1.72998476028442
36.27268726,-0.001944537856616,-1.71996915340424
36.3554076,-0.0018621636554598,-1.70998001098633
36.43813136,-0.0017822313820943,-1.69999122619629
36.52092292,-0.0017042774707078,-1.68996644020081
36.60365958,-0.0016288498882204,-1.67998135089874
36.686366,-0.0015553964767605,-1.66996264457703
36.76911388,-0.0014846029225736,-1.65997278690338
36.85185742,-0.0014160465216264,-1.64999115467072
36.93458748,-0.0013493596343323,-1.63996601104736
37.01732686,-0.0012850306229665,-1.62998080253601
37.10007048,-0.0012223592493683,-1.61996519565582
37.18277892,-0.0011622753227129,-1.60997998714447
37.26549878,-0.0011037949007004,-1.5999915599823
37.34823984,-0.0010474297450855,-1.58996760845184
37.58523516,-0.00099605449941,-1.57997965812683
37.6679956,-0.0009423624142073,-1.56996369361877
37.75073898,-0.0008919992833398,-1.55997753143311
37.83348762,-0.0008435748168267,-1.54999005794525
37.91623856,-0.0007971367449499,-1.53997051715851
37.99895474,-0.0007524160901084,-1.52997899055481
38.08170574,-0.0007098481291905,-1.51996147632599
38.16442694,-0.0006689855945296,-1.50997638702393
38.24718076,-0.0006301198154687,-1.49998903274536
38.32991724,-0.0005929756443947,-1.48996913433075
38.4126327,-0.0005576761905103,-1.47998130321503
38.49534188,-0.0005237511359155,-1.469966173172
38.57808894,-0.0004916759789921,-1.45997536182404
38.6608203,-0.000461174553493,-1.44999265670776
38.74354484,-0.0004321498854551,-1.43997204303741
38.8263049,-0.0004045927198603,-1.42998933792114
