,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gain,param_probability,param_voltages,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32,132.5611522992452,1.3306537544987247,0.26673126220703125,0.012891012182785138,39243.48933771554,0.8651417182840926,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.8651417182840926, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",152.5818351021293,143.28409823683128,125.31774855785017,140.39456063227024,11.316497527934306,52
33,156.53325668970743,1.181564430550673,0.2913064161936442,0.02247302561014277,39243.48933771554,0.8227744011042795,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.8227744011042795, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",192.87329289952424,104.86438320505016,175.76866619983275,157.83544743480238,38.101551130790384,28
34,152.54330460230508,10.349702870012598,0.27565868695576984,0.021055249405616417,39243.48933771554,1.0110698135906322,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 1.0110698135906322, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",160.85332397923037,98.99490433010165,143.94299160819187,134.5970733058413,26.10396728542218,60
35,146.87401938438416,18.036816112370193,0.2900052070617676,0.008283281680532453,39243.48933771554,0.8603247153784425,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.8603247153784425, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",219.04477418192155,104.08234939072736,131.09692536768605,151.40801631344496,49.081531421522925,39
36,158.24909257888794,16.949473657402365,0.27857772509257,0.02321541167012616,39243.48933771554,0.9157009564113837,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.9157009564113837, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",192.53705579214122,117.99931300347907,90.83608330085274,133.79081736549102,42.99457840960909,63
37,145.3732109864553,14.403805076140525,0.30283141136169434,0.019812451327546218,39243.48933771554,0.9815830969555722,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.9815830969555722, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",101.33816216804489,117.28713978912174,147.63741399992725,122.08757198569795,19.203962993845128,86
38,148.02227433522543,10.69011034610949,0.28710190455118817,0.012515012578612686,39243.48933771554,0.8277752989207464,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.8277752989207464, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",143.80087716841058,148.47892534741607,110.9817518364481,134.4205181174249,16.683382096604713,62
39,146.97306243578592,11.381373233271349,0.27257172266642254,0.015755012098339783,39243.48933771554,0.8634833547946665,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 39243.48933771554, 'probability': 0.8634833547946665, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",139.556206641851,134.26060441403774,134.03883783681545,135.95188296423473,2.550249266700826,57
40,148.17803168296814,9.826440293814608,0.29865701993306476,0.0074630628328335984,32894.86836474186,0.9456354632652709,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 0.9456354632652709, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",202.5077805289412,196.9577218412143,152.40511309499917,183.9568718217182,22.42522236115876,3
41,154.6320859591166,0.4668993763536384,0.2802406946818034,0.013152628856206558,32894.86836474186,1.0488341321501657,"[-0.5970191873997702, 0.0013098539605894905]","{'gain': 32894.86836474186, 'probability': 1.0488341321501657, 'voltages': [-0.5970191873997702, 0.0013098539605894905]}",172.75715328730416,180.00886374241313,70.26380442514814,141.00994048495514,50.112597562394285,50
