time	V(pre)	V(pre)/Ix(U1:TE)	Ix(U1:TE)
1.460646575999979e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.470886576000319e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.481126576000659e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.491366576000999e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.501426476000006e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.511666476000346e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.521906476000686e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.532146476001026e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.542386476001366e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.552626476001706e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.562866476002046e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.573106476002386e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.583346476002726e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.593586476003065e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.600000000000000e+001	-1.000000e-001	8.643532e+005	-1.156935e-007
1.600000009999999e+001	-2.000001e-002	-7.236491e+003	2.763771e-006
1.600000029999998e+001	1.400000e-001	3.646019e+003	3.839804e-005
1.600000069999999e+001	4.600000e-001	2.019891e+003	2.277351e-004
1.600000082296339e+001	5.583707e-001	1.459636e+003	3.825411e-004
1.600000090827462e+001	6.266197e-001	1.036432e+003	6.045931e-004
1.600000100000000e+001	7.000000e-001	7.402556e+002	9.456194e-004
1.603606363859865e+001	7.000000e-001	7.397045e+002	9.463238e-004
1.613846363860205e+001	7.000000e-001	7.381443e+002	9.483240e-004
1.624086363860545e+001	7.000000e-001	7.365907e+002	9.503242e-004
1.634326363860885e+001	7.000000e-001	7.350436e+002	9.523244e-004
1.644566363861225e+001	7.000000e-001	7.335030e+002	9.543246e-004
1.654806363861565e+001	7.000000e-001	7.319689e+002	9.563248e-004
1.665046363861904e+001	7.000000e-001	7.304411e+002	9.583250e-004
1.675286363862244e+001	7.000000e-001	7.289197e+002	9.603252e-004
1.685526363862584e+001	7.000000e-001	7.274046e+002	9.623254e-004
1.695766363862924e+001	7.000000e-001	7.258959e+002	9.643256e-004
1.700000100000000e+001	7.000000e-001	7.252739e+002	9.651526e-004
1.700000109999999e+001	6.200000e-001	9.784308e+002	6.336677e-004
1.700000129999998e+001	4.600000e-001	1.614578e+003	2.849042e-004
1.700000169999998e+001	1.400000e-001	2.831818e+003	4.943821e-005
1.700000200000000e+001	-9.999999e-002	4.376374e+004	-2.284997e-006
1.705806576000151e+001	-1.000000e-001	4.376374e+004	-2.284997e-006
1.716046576000491e+001	-1.000000e-001	4.376374e+004	-2.284997e-006
1.726286576000831e+001	-1.000000e-001	4.376374e+004	-2.284997e-006
1.736526576001171e+001	-1.000000e-001	4.376374e+004	-2.284997e-006
1.740000000000001e+001	-9.999999e-002	4.376374e+004	-2.284997e-006
1.740000010000000e+001	-2.000000e-002	-9.274395e+003	2.156475e-006
1.740000029999999e+001	1.400000e-001	3.422552e+003	4.090514e-005
1.740000069999999e+001	4.600000e-001	1.227723e+003	3.746774e-004
1.740000100000000e+001	7.000000e-001	7.252739e+002	9.651526e-004
1.746586476000178e+001	7.000000e-001	7.243084e+002	9.664391e-004
1.756826476000518e+001	7.000000e-001	7.228124e+002	9.684394e-004
1.767066476000858e+001	7.000000e-001	7.213226e+002	9.704396e-004
1.777306476001198e+001	7.000000e-001	7.198389e+002	9.724398e-004
1.787546476001538e+001	7.000000e-001	7.183613e+002	9.744400e-004
1.797786476001878e+001	7.000000e-001	7.168898e+002	9.764402e-004
1.808026476002218e+001	7.000000e-001	7.154243e+002	9.784404e-004
1.818266476002557e+001	7.000000e-001	7.139647e+002	9.804406e-004
1.828506476002897e+001	7.000000e-001	7.125111e+002	9.824408e-004
1.838746476003237e+001	7.000000e-001	7.110634e+002	9.844410e-004
1.840000100000000e+001	7.000000e-001	7.108866e+002	9.846858e-004
1.840000110000000e+001	6.200000e-001	9.535902e+002	6.501745e-004
1.840000129999999e+001	4.600000e-001	1.555237e+003	2.957748e-004
1.840000169999999e+001	1.400000e-001	2.695285e+003	5.194256e-005
1.840000200000000e+001	-1.000000e-001	2.245022e+004	-4.454300e-006
1.848816576000252e+001	-1.000000e-001	2.245022e+004	-4.454300e-006
1.859056576000592e+001	-1.000000e-001	2.245022e+004	-4.454300e-006
1.869296576000932e+001	-1.000000e-001	2.245022e+004	-4.454300e-006
1.879536576001271e+001	-1.000000e-001	2.245022e+004	-4.454300e-006
1.880000000000001e+001	-9.999999e-002	2.245022e+004	-4.454299e-006
1.880000010000001e+001	-2.000000e-002	-1.291006e+004	1.549179e-006
1.880000029999999e+001	1.400000e-001	3.224897e+003	4.341224e-005
1.880000070000000e+001	4.600000e-001	1.192738e+003	3.856671e-004
1.880000100000001e+001	7.000000e-001	7.108866e+002	9.846858e-004
1.889596476000278e+001	7.000000e-001	7.095359e+002	9.865604e-004
1.899836476000618e+001	7.000000e-001	7.081002e+002	9.885606e-004
1.910076476000958e+001	7.000000e-001	7.066704e+002	9.905607e-004
1.920316476001298e+001	7.000000e-001	7.052463e+002	9.925610e-004
1.930556476001638e+001	7.000000e-001	7.038279e+002	9.945612e-004
1.940796476001978e+001	7.000000e-001	7.024162e+002	9.965602e-004
1.951036476002318e+001	7.000000e-001	7.010193e+002	9.985459e-004
1.961276476002658e+001	7.000000e-001	6.996396e+002	1.000515e-003
1.971516476002998e+001	7.000000e-001	6.982766e+002	1.002468e-003
1.980000100000001e+001	7.000000e-001	6.971599e+002	1.004074e-003
1.980000110000000e+001	6.200000e-001	9.301511e+002	6.665584e-004
1.980000129999999e+001	4.600000e-001	1.500499e+003	3.065646e-004
1.980000170000000e+001	1.400000e-001	2.572192e+003	5.442828e-005
1.980000200000001e+001	-1.000000e-001	1.513439e+004	-6.607467e-006
1.981586576000012e+001	-1.000000e-001	1.513439e+004	-6.607467e-006
1.991826576000352e+001	-1.000000e-001	1.513439e+004	-6.607467e-006
2.002066576000692e+001	-1.000000e-001	1.513439e+004	-6.607467e-006
2.012306576001032e+001	-1.000000e-001	1.513439e+004	-6.607467e-006
2.020000000000002e+001	-9.999999e-002	1.513439e+004	-6.607466e-006
2.020000010000001e+001	-1.999999e-002	-2.113269e+004	9.464004e-007
2.020000030000000e+001	1.400000e-001	3.050063e+003	4.590068e-005
2.020000069999998e+001	4.600000e-001	1.159932e+003	3.965751e-004
2.020000099999999e+001	7.000000e-001	6.971599e+002	1.004074e-003
2.022366475999570e+001	7.000000e-001	6.968503e+002	1.004520e-003
2.032606475999910e+001	7.000000e-001	6.955208e+002	1.006440e-003
2.042846476000250e+001	7.000000e-001	6.942071e+002	1.008345e-003
2.053086476000590e+001	7.000000e-001	6.929089e+002	1.010234e-003
