Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
230.041	1	0.1	6.39933E-9	6.39933E-9	1.56266E7
231.258	1	0	-5.26922E-11	5.26922E-11	0
231.575	1	-1	-9.72772E-8	9.72772E-8	1.02799E7
231.897	1	0	3.04535E-10	3.04535E-10	0
232.215	1	0.1	6.3979E-9	6.3979E-9	1.56301E7
233.431	1	0	-5.34895E-11	5.34895E-11	0
233.75	1	-1	-9.80131E-8	9.80131E-8	1.02027E7
234.067	1	0	2.94298E-10	2.94298E-10	0
234.383	1	0.1	6.40394E-9	6.40394E-9	1.56154E7
235.599	1	0	-5.34055E-11	5.34055E-11	0
235.918	1	-1	-9.91564E-8	9.91564E-8	1.00851E7
236.236	1	0	2.92704E-10	2.92704E-10	0
236.557	1	0.1	6.40541E-9	6.40541E-9	1.56118E7
237.774	1	0	-5.70977E-11	5.70977E-11	0
238.09	1	-1	-9.97437E-8	9.97437E-8	1.00257E7
238.404	1	0	2.94005E-10	2.94005E-10	0
238.725	1	1	0.01094	0.01094	91.44496
359.313	1	1	0.01094	0.01094	91.44437
359.63	1	0	-3.85367E-10	3.85367E-10	0
360.145	1	-1	-1.84093E-6	1.84093E-6	543202.52654
360.651	1	0	6.85966E-11	6.85966E-11	0
361.07	1	-2	-3.29805E-5	3.29805E-5	60641.91284
362.476	1	0	5.59938E-10	5.59938E-10	0
362.895	1	-1	-4.168E-7	4.168E-7	2.39923E6
363.212	1	0	4.27244E-10	4.27244E-10	0
363.533	1	-2	-2.90705E-5	2.90705E-5	68798.17162
364.941	1	0	6.36123E-10	6.36123E-10	0
365.362	1	-1	-2.99733E-7	2.99733E-7	3.3363E6
365.679	1	0	4.8627E-10	4.8627E-10	0
365.998	1	-2	-2.72444E-5	2.72444E-5	73409.52753
367.404	1	0	6.64272E-10	6.64272E-10	0
367.815	1	-1	-2.34325E-7	2.34325E-7	4.26758E6
368.131	1	0	5.14462E-10	5.14462E-10	0
368.449	1	-2	-2.58053E-5	2.58053E-5	77503.39852
369.858	1	0	6.8613E-10	6.8613E-10	0
370.275	1	-1	-2.02176E-7	2.02176E-7	4.94619E6
370.592	1	0	5.23901E-10	5.23901E-10	0
370.912	1	-2	-2.50035E-5	2.50035E-5	79988.76958
372.326	1	0	6.80508E-10	6.80508E-10	0
372.749	1	-1	-1.79163E-7	1.79163E-7	5.58153E6
373.058	1	0	5.28978E-10	5.28978E-10	0
373.377	1	-2	-2.43189E-5	2.43189E-5	82240.66332
374.793	1	0	6.96785E-10	6.96785E-10	0
375.211	1	-1	-1.61409E-7	1.61409E-7	6.19546E6
375.529	1	0	5.41858E-10	5.41858E-10	0
375.849	1	-2	-2.35837E-5	2.35837E-5	84804.44307
377.256	1	0	7.02491E-10	7.02491E-10	0
377.676	1	-1	-1.551E-7	1.551E-7	6.44747E6
377.985	1	0	5.46975E-10	5.46975E-10	0
378.296	1	-2	-2.31573E-5	2.31573E-5	86365.77981
379.71	1	0	7.04714E-10	7.04714E-10	0
380.13	1	-1	-1.45591E-7	1.45591E-7	6.86856E6
380.45	1	0	5.45255E-10	5.45255E-10	0
380.771	1	-2	-2.29991E-5	2.29991E-5	86959.88671
382.179	1	0	7.08575E-10	7.08575E-10	0
382.598	1	-1	-1.39421E-7	1.39421E-7	7.17253E6
382.917	1	0	5.51925E-10	5.51925E-10	0
383.236	1	-2	-2.23333E-5	2.23333E-5	89552.41256
384.643	1	0	7.07861E-10	7.07861E-10	0
385.061	1	-1	-1.33278E-7	1.33278E-7	7.50311E6
385.382	1	0	5.54149E-10	5.54149E-10	0
385.701	1	-2	-2.2256E-5	2.2256E-5	89863.56913
387.11	1	0	7.07945E-10	7.07945E-10	0
387.53	1	-1	-1.26095E-7	1.26095E-7	7.9305E6
387.851	1	0	5.48611E-10	5.48611E-10	0
388.178	1	-2	-2.05516E-5	2.05516E-5	97316.26082
389.588	1	0	7.12811E-10	7.12811E-10	0
390.008	1	-1	-1.1981E-7	1.1981E-7	8.34653E6
390.328	1	0	5.55743E-10	5.55743E-10	0
390.651	1	-2	-2.01194E-5	2.01194E-5	99406.34531
392.059	1	0	7.12391E-10	7.12391E-10	0
392.482	1	-1	-1.16521E-7	1.16521E-7	8.58214E6
392.804	1	0	5.60358E-10	5.60358E-10	0
393.123	1	-2	-2.13696E-5	2.13696E-5	93590.89548
394.531	1	0	7.14824E-10	7.14824E-10	0
394.953	1	-1	-1.14763E-7	1.14763E-7	8.71359E6
395.272	1	0	5.58512E-10	5.58512E-10	0
395.593	1	-2	-2.12104E-5	2.12104E-5	94293.40998
397	1	0	7.20027E-10	7.20027E-10	0
397.427	1	-1	-1.11133E-7	1.11133E-7	8.99819E6
397.746	1	0	5.6019E-10	5.6019E-10	0
398.067	1	-2	-2.10412E-5	2.10412E-5	95051.79372
399.469	1	0	7.19524E-10	7.19524E-10	0
399.881	1	-1	-1.0736E-7	1.0736E-7	9.31442E6
400.2	1	0	5.65266E-10	5.65266E-10	0
400.521	1	-2	-2.07614E-5	2.07614E-5	96332.80286
401.928	1	0	7.1642E-10	7.1642E-10	0
402.347	1	-1	-1.0409E-7	1.0409E-7	9.60707E6
402.666	1	0	5.60567E-10	5.60567E-10	0
402.989	1	-2	-2.03429E-5	2.03429E-5	98314.59293
404.388	1	0	7.19146E-10	7.19146E-10	0
404.809	1	-1	-1.00721E-7	1.00721E-7	9.92837E6
405.127	1	0	5.61868E-10	5.61868E-10	0
405.449	1	-2	-2.02277E-5	2.02277E-5	98874.41367
406.858	1	0	7.09329E-10	7.09329E-10	0
407.285	1	-1	-9.7002E-8	9.7002E-8	1.03091E7
407.606	1	0	5.58302E-10	5.58302E-10	0
407.919	1	-2	-2.02567E-5	2.02567E-5	98732.61874
409.334	1	0	7.21118E-10	7.21118E-10	0
409.756	1	-1	-9.50065E-8	9.50065E-8	1.05256E7
410.078	1	0	5.66063E-10	5.66063E-10	0
410.399	1	-2	-1.88181E-5	1.88181E-5	106280.76828
411.802	1	0	7.18559E-10	7.18559E-10	0
412.222	1	-1	-9.34881E-8	9.34881E-8	1.06965E7
412.542	1	0	5.66483E-10	5.66483E-10	0
412.865	1	-2	-1.95366E-5	1.95366E-5	102371.74867
414.277	1	0	7.28501E-10	7.28501E-10	0
414.698	1	-1	-9.15993E-8	9.15993E-8	1.09171E7
415.018	1	0	5.64007E-10	5.64007E-10	0
415.339	1	-2	-1.9773E-5	1.9773E-5	101147.82552
416.749	1	0	7.24264E-10	7.24264E-10	0
417.168	1	-1	-9.04793E-8	9.04793E-8	1.10523E7
417.488	1	0	5.62413E-10	5.62413E-10	0
417.809	1	-2	-1.80112E-5	1.80112E-5	111042.07995
419.218	1	0	7.1944E-10	7.1944E-10	0
419.639	1	-1	-8.8251E-8	8.8251E-8	1.13313E7
419.958	1	0	5.65056E-10	5.65056E-10	0
420.283	1	-2	-1.81943E-5	1.81943E-5	109924.35555
421.694	1	0	7.16167E-10	7.16167E-10	0
422.112	1	-1	-8.68732E-8	8.68732E-8	1.1511E7
422.422	1	0	5.66693E-10	5.66693E-10	0
422.734	1	0.2	2.35386E-7	2.35386E-7	849669.28747
423.945	1	0	-1.04368E-12	1.04368E-12	0
424.254	1	-1	-1.0849E-7	1.0849E-7	9.21743E6
424.566	1	0	3.68595E-10	3.68595E-10	0
424.878	1	0.2	2.39218E-7	2.39218E-7	836056.78832
426.097	1	0	-4.76154E-11	4.76154E-11	0
426.419	1	-1	-1.20621E-7	1.20621E-7	8.29046E6
426.741	1	0	3.37928E-10	3.37928E-10	0
427.061	1	0.2	2.41606E-7	2.41606E-7	827793.66912
428.282	1	0	-7.03979E-11	7.03979E-11	0
428.6	1	-1	-1.28969E-7	1.28969E-7	7.75383E6
428.924	1	0	3.18253E-10	3.18253E-10	0
429.245	1	0.2	2.43221E-7	2.43221E-7	822298.09293
430.465	1	0	-8.16004E-11	8.16004E-11	0
430.784	1	-1	-1.33587E-7	1.33587E-7	7.48578E6
431.104	1	0	3.09821E-10	3.09821E-10	0
431.426	1	0.2	2.44456E-7	2.44456E-7	818142.47297
432.645	1	0	-8.87331E-11	8.87331E-11	0
432.966	1	-1	-1.3877E-7	1.3877E-7	7.20617E6
433.286	1	0	3.09569E-10	3.09569E-10	0
433.607	1	0.2	2.45543E-7	2.45543E-7	814522.61237
434.826	1	0	-9.04952E-11	9.04952E-11	0
435.146	1	-1	-1.40655E-7	1.40655E-7	7.1096E6
435.466	1	0	2.95934E-10	2.95934E-10	0
435.791	1	0.2	2.46307E-7	2.46307E-7	811994.78699
437.012	1	0	-9.34742E-11	9.34742E-11	0
437.336	1	-1	-1.45878E-7	1.45878E-7	6.85504E6
437.657	1	0	2.96983E-10	2.96983E-10	0
