Time (s)	repeat #	Applied voltage (V)	Current (A)	Absolute current (A)	Resistance (Ohm)
739.788	1	0	6.12697E-10	6.12697E-10	0
740.2	1	-1	-8.42476E-9	8.42476E-9	1.18698E8
740.505	1	0	4.42892E-10	4.42892E-10	0
740.813	1	-3	-5.09323E-5	5.09323E-5	58901.76481
741.307	1	0	6.41253E-10	6.41253E-10	0
741.712	1	-1	-7.98295E-9	7.98295E-9	1.25267E8
742.017	1	0	4.51223E-10	4.51223E-10	0
742.325	1	-3	-4.95435E-5	4.95435E-5	60552.8475
742.82	1	0	6.44819E-10	6.44819E-10	0
743.225	1	-1	-7.58681E-9	7.58681E-9	1.31808E8
743.531	1	0	4.46083E-10	4.46083E-10	0
743.839	1	-3	-5.02112E-5	5.02112E-5	59747.57843
744.333	1	0	6.50083E-10	6.50083E-10	0
744.738	1	-1	-7.56199E-9	7.56199E-9	1.3224E8
745.043	1	0	4.58227E-10	4.58227E-10	0
745.351	1	0.5	4.75368E-4	4.75368E-4	1051.81758
745.754	1	0	-1.89846E-11	1.89846E-11	0
746.166	1	-1	-1.05608E-8	1.05608E-8	9.46898E7
746.472	1	0	3.14451E-10	3.14451E-10	0
746.78	1	0.5	4.76972E-4	4.76972E-4	1048.27912
747.182	1	0	-6.64422E-11	6.64422E-11	0
747.594	1	-1	-1.18625E-8	1.18625E-8	8.4299E7
747.899	1	0	2.73461E-10	2.73461E-10	0
748.207	1	0.5	4.77833E-4	4.77833E-4	1046.39047
748.602	1	0	-8.62962E-11	8.62962E-11	0
749.011	1	-1	-1.29591E-8	1.29591E-8	7.7166E7
749.317	1	0	2.73709E-10	2.73709E-10	0
749.625	1	0.5	4.78378E-4	4.78378E-4	1045.19769
750.027	1	0	-9.11459E-11	9.11459E-11	0
750.439	1	-1	-1.359E-8	1.359E-8	7.35837E7
750.745	1	0	2.58249E-10	2.58249E-10	0
751.054	1	0.5	4.78776E-4	4.78776E-4	1044.32949
751.456	1	0	-9.57466E-11	9.57466E-11	0
751.867	1	-1	-1.48588E-8	1.48588E-8	6.73003E7
752.173	1	0	2.51536E-10	2.51536E-10	0
752.481	1	0.5	4.79081E-4	4.79081E-4	1043.66441
752.884	1	0	-1.00099E-10	1.00099E-10	0
753.296	1	-1	-1.56393E-8	1.56393E-8	6.39414E7
753.602	1	0	2.46976E-10	2.46976E-10	0
753.91	1	0.5	4.79312E-4	4.79312E-4	1043.16078
754.313	1	0	-9.64515E-11	9.64515E-11	0
754.719	1	-1	-1.60567E-8	1.60567E-8	6.22795E7
755.025	1	0	2.42997E-10	2.42997E-10	0
755.333	1	0.5	4.79483E-4	4.79483E-4	1042.78919
755.735	1	0	-1.08181E-10	1.08181E-10	0
756.14	1	-1	-1.69836E-8	1.69836E-8	5.88803E7
756.448	1	0	2.5025E-10	2.5025E-10	0
756.755	1	1	0.0028	0.0028	357.53896
757.33	1	0	-2.36011E-10	2.36011E-10	0
757.737	1	-1	-1.8428E-8	1.8428E-8	5.42652E7
758.044	1	0	2.06856E-10	2.06856E-10	0
758.351	1	0.5	4.79835E-4	4.79835E-4	1042.02399
758.754	1	0	-1.15186E-10	1.15186E-10	0
759.165	1	-1	-1.83838E-8	1.83838E-8	5.43956E7
759.472	1	0	2.35081E-10	2.35081E-10	0
759.78	1	1	0.00282	0.00282	355.18175
880.271	1	1	0.00282	0.00282	355.18212
880.579	1	0	-4.36459E-10	4.36459E-10	0
880.991	1	-4	-1.14647E-4	1.14647E-4	34889.64406
881.393	1	0	4.62952E-10	4.62952E-10	0
881.804	1	-1	-6.29054E-9	6.29054E-9	1.58969E8
882.109	1	0	2.93976E-10	2.93976E-10	0
882.417	1	-4	-1.05313E-4	1.05313E-4	37982.19585
882.819	1	0	6.20615E-10	6.20615E-10	0
883.238	1	-1	-5.17406E-9	5.17406E-9	1.93272E8
883.541	1	0	3.72061E-10	3.72061E-10	0
883.849	1	-4	-1.03057E-4	1.03057E-4	38813.47216
884.251	1	0	6.70433E-10	6.70433E-10	0
884.662	1	-1	-4.77576E-9	4.77576E-9	2.09391E8
884.968	1	0	4.10689E-10	4.10689E-10	0
885.277	1	-4	-9.81384E-5	9.81384E-5	40758.76102
885.764	1	0	7.84161E-10	7.84161E-10	0
886.172	1	-1	-4.36494E-9	4.36494E-9	2.29098E8
886.477	1	0	4.55534E-10	4.55534E-10	0
886.785	1	-4	-9.52563E-5	9.52563E-5	41991.97764
887.273	1	0	8.271E-10	8.271E-10	0
887.68	1	-1	-4.15657E-9	4.15657E-9	2.40583E8
887.986	1	0	4.72775E-10	4.72775E-10	0
888.293	1	-4	-9.35549E-5	9.35549E-5	42755.64858
888.781	1	0	8.33728E-10	8.33728E-10	0
889.188	1	-1	-3.98223E-9	3.98223E-9	2.51116E8
889.494	1	0	4.89063E-10	4.89063E-10	0
